runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
133,1,133,86,16,2,154.65,2,Sri Lanka,Hobart,28 Feb 2012
108,0,148,120,7,0,90.00,1,Sri Lanka,Dhaka,13 Mar 2012
66,0,126,82,5,0,80.48,1,Bangladesh,Dhaka,16 Mar 2012
183,0,211,148,22,1,123.64,2,Pakistan,Dhaka,18 Mar 2012
106,0,158,113,9,0,93.80,1,Sri Lanka,Hambantota,21 Jul 2012
1,0,6,5,0,0,20.00,1,Sri Lanka,Hambantota,24 Jul 2012
38,0,80,65,2,0,58.46,2,Sri Lanka,Colombo (RPS),28 Jul 2012
128,1,187,119,12,1,107.56,2,Sri Lanka,Colombo (RPS),31 Jul 2012
23,0,42,35,2,0,65.71,1,Sri Lanka,Pallekele,4 Aug 2012
0,0,9,5,0,0,0.00,1,Pakistan,Chennai,30 Dec 2012
6,0,12,9,1,0,66.66,2,Pakistan,Kolkata,3 Jan 2013
7,0,25,17,1,0,41.17,1,Pakistan,Delhi,6 Jan 2013
15,0,45,22,1,0,68.18,2,England,Rajkot,11 Jan 2013
37,0,86,54,1,1,68.51,1,England,Kochi,15 Jan 2013
77,1,110,79,9,2,97.46,2,England,Ranchi,19 Jan 2013
26,0,44,33,3,0,78.78,2,England,Mohali,23 Jan 2013
0,0,1,1,0,0,0.00,1,England,Dharamsala,27 Jan 2013
31,0,46,41,2,0,75.60,1,South Africa,Cardiff,6 Jun 2013
22,0,18,18,4,0,122.22,2,West Indies,The Oval,11 Jun 2013
22,1,36,27,3,0,81.48,2,Pakistan,Birmingham,15 Jun 2013
58,1,80,64,4,1,90.62,2,Sri Lanka,Cardiff,20 Jun 2013
43,0,66,34,4,1,126.47,1,England,Birmingham,23 Jun 2013
11,0,19,21,0,1,52.38,1,West Indies,Kingston,30 Jun 2013
2,0,6,5,0,0,40.00,2,Sri Lanka,Kingston,2 Jul 2013
102,0,120,83,13,2,122.89,1,West Indies,Port of Spain,5 Jul 2013
31,0,62,52,4,0,59.61,1,Sri Lanka,Port of Spain,9 Jul 2013
2,0,8,5,0,0,40.00,2,Sri Lanka,Port of Spain,11 Jul 2013
115,0,133,108,13,1,106.48,2,Zimbabwe,Harare,24 Jul 2013
14,0,35,18,2,0,77.77,1,Zimbabwe,Harare,26 Jul 2013
68,1,128,88,5,1,77.27,2,Zimbabwe,Harare,28 Jul 2013
DNB,0,-,-,-,-,-,2,Zimbabwe,Bulawayo,1 Aug 2013
