,runs,Opp,Ground,Inns
180,0,Sri Lanka,The Oval,1
181,76,South Africa,The Oval,2
182,96,Bangladesh,Birmingham,2
183,5,Pakistan,The Oval,2
184,32,West Indies,Port of Spain,1
185,87,West Indies,Port of Spain,1
186,11,West Indies,North Sound,1
187,3,West Indies,North Sound,2
188,111,West Indies,Kingston,2
189,82,Sri Lanka,Dambulla,2
190,4,Sri Lanka,Pallekele,2
191,3,Sri Lanka,Pallekele,2
192,131,Sri Lanka,Colombo (RPS),1
193,110,Sri Lanka,Colombo (RPS),2
194,0,Australia,Chennai,1
195,92,Australia,Kolkata,1
196,28,Australia,Indore,2
197,21,Australia,Bengaluru,2
198,39,Australia,Nagpur,2
199,121,New Zealand,Mumbai,1
200,29,New Zealand,Pune,2
201,113,New Zealand,Kanpur,1
202,112,South Africa,Durban,2
203,46,South Africa,Centurion,2
204,160,South Africa,Cape Town,1
205,75,South Africa,Johannesburg,1
206,36,South Africa,Port Elizabeth,1
207,129,South Africa,Centurion,2
208,75,England,Nottingham,2
209,45,England,Lord's,2
210,71,England,Leeds,1
211,140,West Indies,Guwahati,2
212,157,West Indies,Visakhapatnam,1
213,107,West Indies,Pune,2
214,16,West Indies,Mumbai (BS),1
215,33,West Indies,Thiruvananthapuram,2
216,3,Australia,Sydney,2
217,104,Australia,Adelaide,2
218,46,Australia,Melbourne,2
219,45,New Zealand,Napier,2
220,43,New Zealand,Mount Maunganui,1
221,60,New Zealand,Mount Maunganui,2
222,44,Australia,Hyderabad (Deccan),2
223,116,Australia,Nagpur,1
224,123,Australia,Ranchi,2
225,7,Australia,Mohali,1
226,20,Australia,Delhi,2
227,18,South Africa,Southampton,2
228,82,Australia,The Oval,1
229,77,Pakistan,Manchester,1
230,67,Afghanistan,Southampton,1
231,72,West Indies,Manchester,1
232,66,England,Birmingham,2
233,26,Bangladesh,Birmingham,1
234,34,Sri Lanka,Leeds,2
235,1,New Zealand,Manchester,2
236,TDNB,West Indies,Providence,-
237,120,West Indies,Port of Spain,1
238,114,West Indies,Port of Spain,2
239,4,West Indies,Chennai,1
240,0,West Indies,Visakhapatnam,1
241,85,West Indies,Cuttack,2
242,16,Australia,Mumbai,1
243,78,Australia,Rajkot,1
244,89,Australia,Bengaluru,2
245,51,New Zealand,Hamilton,1
246,15,New Zealand,Auckland,2
247,9,New Zealand,Mount Maunganui,1
248,21,Australia,Sydney,2
249,89,Australia,Sydney,2
250,9,Australia,Canberra,1
251,56,England,Pune,1
252,66,England,Pune,1
